drug_name,num_prescriber,total_cost
ZAFIRLUKAST,28,42140
NESINA,6,41966
GLYBURIDE-METFORMIN HCL,98,41933
HALOPERIDOL DECANOATE 100,21,41895
DIPENTUM,2,41657
NYAMYC,50,41526
SANCUSO,2,41423
NEVIRAPINE ER,6,41286
GLATOPA,1,41191
CEFEPIME HCL,11,41169
ZYFLO CR,1,40547
PERFOROMIST,5,40249
NAPROXEN SODIUM,47,40139
CYCLOSPORINE MODIFIED,13,39910
FLUOCINOLONE ACETONIDE OIL,10,39896
UNIFINE PENTIPS,65,39654
SURE COMFORT,76,39575
SODIUM CHLORIDE,80,39462
TRIFLUOPERAZINE HCL,32,39321
ULTICARE,50,39145
VGO 40,7,39021
UCERIS,2,38679
HYDROCODONE-IBUPROFEN,43,38228
SINGULAIR,14,38092
TEKTURNA HCT,16,38034
TRIAZOLAM,52,38010
LAMIVUDINE HBV,6,37814
SULFASALAZINE DR,28,37784
ISTALOL,9,37737
KIONEX,18,37632
TYKERB,1,37625
ARICEPT,3,37445
HEPARIN SODIUM,22,37387
PEG 3350-ELECTROLYTE,66,37259
AUTOSHIELD DUO PEN NEEDLE,23,36239
RAYOS,2,36213
OXAZEPAM,31,36131
PENICILLIN V POTASSIUM,172,36120
XALATAN,13,35770
XANAX,8,35535
PREPOPIK,9,35491
EVOTAZ,2,35292
LEUCOVORIN CALCIUM,23,35158
AXIRON,5,35002
LUNESTA,7,34320
FOSINOPRIL SODIUM,125,33654
PRAMIPEXOLE ER,4,33433
LEVORPHANOL TARTRATE,1,33280
CYCLOSET,4,33276
SULINDAC,60,33061
SIMCOR,5,32999
LEVOCARNITINE,12,32806
INNOPRAN XL,4,32793
BOOSTRIX TDAP,22,32764
MYCOPHENOLIC ACID,4,32562
CARBATROL,11,32455
DEMECLOCYCLINE HCL,5,31898
EPITOL,35,31892
TRANYLCYPROMINE SULFATE,6,31825
COSOPT PF,12,31732
DICLOFENAC SODIUM ER,42,31723
ALCOHOL PADS,35,31592
JUBLIA,3,31356
MINOXIDIL,71,31074
ATOVAQUONE-PROGUANIL HCL,8,30807
DEXEDRINE,1,30638
NORVASC,14,30607
GELNIQUE,7,30316
FRAGMIN,1,30285
KLOR-CON 8,47,29997
ARMOUR THYROID,50,29989
ERYPED 400,2,29932
ANDRODERM,5,29793
INVOKAMET,5,29781
GLYCOPYRROLATE,27,29769
ELIDEL,5,29757
PROPYLTHIOURACIL,27,29748
NAFTIN,5,29644
THIOTHIXENE,22,29631
LESCOL XL,7,29581
ARIMIDEX,3,29564
PLAQUENIL,3,29328
VIVELLE-DOT,13,29328
ETODOLAC ER,11,29307
BUTALBITAL COMPOUND-CODEINE,15,29287
FINACEA,6,28773
CABERGOLINE,15,28770
ZOLEDRONIC ACID,2,28349
MICARDIS HCT,11,28268
PROCHLORPERAZINE MALEATE,148,27923
BLEPHAMIDE,1,27667
LASTACAFT,11,27592
DESOXYN,1,27553
IMIPRAMINE HCL,82,27535
ALINIA,1,27423
CLINISOL,4,26963
FLUNISOLIDE,19,26898
ENULOSE,38,26750
RIFAMPIN,22,26212
NEURONTIN,5,25928
CHOLESTYRAMINE LIGHT,17,25875
DESVENLAFAXINE ER,5,25550
TRIHEXYPHENIDYL HCL,108,25440
TRAVOPROST,9,25371
CEFADROXIL,48,25315
ADDERALL XR,6,25304
HORIZANT,4,25224
BUTALB-CAFF-ACETAMINOPH-CODEIN,18,25162
LEVETIRACETAM ER,27,24870
TRICOR,11,24836
LEVALBUTEROL HCL,10,24752
SPS,14,24696
DESLORATADINE,33,24537
ORACEA,3,24455
TRIMETHOPRIM,61,24439
SALICYLIC ACID,1,24378
LOXAPINE,28,24276
MEROPENEM,7,24195
RISPERDAL M-TAB,1,24167
GAVILYTE-G,53,24136
LEUPROLIDE ACETATE,1,23974
NEORAL,3,23782
ZALEPLON,37,23698
COMBIVIR,1,23574
NORCO,3,23263
VERAPAMIL SR,30,23134
BELSOMRA,5,23012
KLOR-CON,8,22894
LOTREL,8,22767
TERBINAFINE HCL,122,22669
RYTARY,2,22603
TIMOPTIC OCUDOSE,3,22570
ZELAPAR,1,22522
POLYMYXIN B SUL-TRIMETHOPRIM,39,22438
CYPROHEPTADINE HCL,24,22341
CEFTAZIDIME,5,22263
BUTALBITAL-ASPIRIN-CAFFEINE,17,22149
FAMCICLOVIR,23,22107
TERCONAZOLE,25,22084
ETHAMBUTOL HCL,17,22073
CEFPROZIL,16,22046
LANOXIN,14,21923
RISEDRONATE SODIUM DR,7,21886
THIORIDAZINE HCL,33,21862
RIBASPHERE RIBAPAK,1,21779
QUININE SULFATE,8,21709
FORTAMET,1,21282
ADEFOVIR DIPIVOXIL,2,21125
MEPRON,1,21118
STALEVO 150,2,20897
DIFLUNISAL,11,20607
DAPSONE,28,20416
VIRAMUNE XR,2,20061
MATZIM LA,16,19969
BUTORPHANOL TARTRATE,13,19910
GAVILYTE-C,15,19898
ALTACE,5,19773
GAVILYTE-N,34,19772
COZAAR,10,19658
DIDANOSINE,7,19639
TIROSINT,11,19501
QUINAPRIL-HYDROCHLOROTHIAZIDE,31,19218
PREVALITE,13,19076
THEO-24,10,19062
PROBENECID,33,19053
NEOMYCIN-POLYMYXIN-HYDROCORT,33,18991
OXISTAT,2,18953
MATULANE,1,18935
FLUVASTATIN SODIUM,9,18916
MS CONTIN,1,18871
DUEXIS,1,18802
NALTREXONE HCL,20,18761
PERPHENAZINE-AMITRIPTYLINE,20,18726
OXAPROZIN,11,18679
QNASL,6,18591
NICOTROL,4,18453
NARATRIPTAN HCL,12,18451
TREXIMET,2,18332
EASY COMFORT PEN NEEDLES,19,18266
PAZEO,4,18169
MICARDIS,7,18071
BETAXOLOL HCL,8,18033
COMBIPATCH,9,17965
OLANZAPINE-FLUOXETINE HCL,5,17960
OSENI,3,17645
AMILORIDE HCL,25,17537
DANTROLENE SODIUM,15,17496
NAPRELAN,2,17478
DIFLORASONE DIACETATE,3,17230
RIBASPHERE,7,17143
BEPREVE,5,16994
EPOGEN,1,16963
ZOLOFT,5,16916
MIRAPEX ER,2,16912
ACAMPROSATE CALCIUM,8,16816
PHOSLYRA,3,16759
SAVAYSA,3,16649
AVAPRO,8,16628
METHYLPHENIDATE HCL CD,6,16597
MYCOBUTIN,1,16543
PENTAZOCINE-NALOXONE HCL,5,16527
EXFORGE HCT,5,16521
PHENAZOPYRIDINE HCL,16,16494
LIDOCAINE HCL,47,16491
AZASITE,6,16468
ENTRESTO,1,16431
DENAVIR,2,16389
PALIPERIDONE ER,1,16292
PIPERACILLIN-TAZOBACTAM,5,16204
NEVIRAPINE,8,16197
MAXALT,3,16169
PULMICORT,1,16012
CYSTADANE,1,15959
DETROL LA,4,15812
OXACILLIN SODIUM,2,15695
EASY TOUCH PEN NEEDLE,37,15686
ZOCOR,4,15625
NEOMYCIN-POLYMYXIN-HC,24,15594
CAMBIA,2,15541
ERY-TAB,4,15503
TESTIM,3,15322
MESALAMINE,2,15167
METHYLPHENIDATE LA,5,15117
CLIMARA,8,15075
RIDAURA,1,15056
GRISEOFULVIN ULTRAMICROSIZE,2,15030
FEMARA,2,14979
LAMOTRIGINE ODT,2,14780
EMSAM,1,14664
FYCOMPA,1,14651
AVALIDE,6,14643
EQUETRO,3,14530
TAZORAC,3,14486
ZOHYDRO ER,2,14347
ISOSORBIDE MONONITRATE,66,14325
PAXIL,6,14262
THEOPHYLLINE,16,14250
REQUIP XL,2,14237
ALOSETRON HCL,1,14103
TOPIRAMATE ER,1,13921
TEFLARO,1,13915
STAXYN,1,13899
METHYLERGONOVINE MALEATE,2,13782
LEVOXYL,22,13776
ZIRGAN,2,13701
SODIUM POLYSTYRENE SULFONATE,13,13696
ENALAPRIL-HYDROCHLOROTHIAZIDE,56,13551
BUTALB-ACETAMINOPH-CAFF-CODEIN,2,13490
VECTICAL,5,13484
GENERLAC,42,13336
PRED FORTE,4,13315
DILAUDID,2,13304
MODERIBA,1,13287
VICODIN ES,7,13232
PRILOSEC,3,13214
HYZAAR,6,13159
ZOLMITRIPTAN,10,13146
MAXALT MLT,2,13063
LEVITRA,4,13003
GABLOFEN,1,12991
INDOMETHACIN,40,12762
GUANFACINE HCL ER,6,12745
MOVANTIK,3,12743
ARAVA,1,12712
ETHOSUXIMIDE,7,12700
MEXILETINE HCL,11,12611
BETIMOL,5,12606
OXYTROL,2,12591
PINDOLOL,16,12570
HYDROCORTISONE-ACETIC ACID,8,12559
TRANDOLAPRIL,39,12554
VEREGEN,1,12508
KRISTALOSE,2,12402
REXULTI,1,12199
ORPHENADRINE CITRATE,22,12194
INDERAL LA,2,12163
CORDRAN,3,12089
CANDESARTAN-HYDROCHLOROTHIAZID,13,12056
PROAIR RESPICLICK,5,12032
MEPROBAMATE,4,12012
BECONASE AQ,2,11999
ALCLOMETASONE DIPROPIONATE,8,11952
EMBEDA,1,11952
PEG-3350 AND ELECTROLYTES,28,11928
CLINDAMYCIN-BENZOYL PEROXIDE,3,11924
PRANDIN,2,11836
CALCIPOTRIENE-BETAMETHASONE DP,2,11737
CONCERTA,2,11700
SSD,34,11581
ROXICODONE,1,11549
LEVOBUNOLOL HCL,22,11527
UROXATRAL,2,11511
CYCLOSERINE,1,11472
REGRANEX,1,11419
NOVOFINE,20,11385
ZYCLARA,1,11370
ARCAPTA NEOHALER,2,11294
MINIVELLE,3,11239
QUINIDINE GLUCONATE,2,11203
KERYDIN,1,11202
DYRENIUM,3,10902
DEXTROSE IN WATER,8,10848
PATANASE,3,10811
TESTOPEL,1,10746
MONUROL,4,10729
ASTEPRO,3,10697
TOBRADEX ST,2,10678
FOCALIN XR,2,10581
CEFEPIME,2,10561
CARDIZEM,1,10559
ACTOS,2,10439
KLONOPIN,3,10359
DONEPEZIL HCL ODT,16,10336
CHLORDIAZEPOXIDE-AMITRIPTYLINE,10,10307
ORAP,5,10212
ZIAGEN,1,10140
EVOXAC,2,10127
STALEVO 100,1,10095
ZORVOLEX,4,10095
AZTREONAM,1,9983
RYTHMOL SR,2,9978
TETRACYCLINE HCL,2,9789
IMIPRAMINE PAMOATE,3,9737
NICOTROL NS,3,9683
FORTICAL,7,9616
CARBIDOPA,1,9508
VITAMIN D2,26,9466
SOTALOL AF,19,9416
NORETHINDRONE ACETATE,11,9355
CARNITOR,2,9342
RESTORIL,1,9274
STALEVO 200,1,9187
COSOPT,3,9157
HALOPERIDOL LACTATE,12,9151
TRILIPIX,3,9117
CELONTIN,3,9006
NALOXONE HCL,3,9004
ZESTRIL,3,9002
FLUVOXAMINE MALEATE ER,2,8946
GUANFACINE HCL,40,8931
SULFACETAMIDE SODIUM,9,8895
ASCOMP WITH CODEINE,5,8869
EPINASTINE HCL,9,8853
VIRAMUNE,1,8809
LEUKERAN,2,8727
TOBRAMYCIN,32,8620
EPIVIR,3,8584
LANSOPRAZOL-AMOXICIL-CLARITHRO,1,8441
HYSINGLA ER,2,8434
TWYNSTA,1,8388
CALAN SR,3,8372
SUMATRIPTAN,2,8346
SINEMET 25-100,3,8295
CHLORZOXAZONE,18,8294
AMOXICILLIN-CLAVULANATE POT ER,6,8240
ZOMIG,2,8204
OCTREOTIDE ACETATE,2,8196
MOXEZA,3,8173
PEN NEEDLE,26,8148
BUTALBITAL-ACETAMINOPHEN,7,8141
HALDOL DECANOATE 100,1,8116
GENOTROPIN,1,8036
CROMOLYN SODIUM,18,7979
CARDIZEM LA,5,7972
AMIKACIN SULFATE,6,7959
GLYXAMBI,1,7889
ACEBUTOLOL HCL,21,7868
GRISEOFULVIN,1,7824
TARKA,4,7817
FLOMAX,1,7808
CYCLOSPORINE,2,7747
HYDROCORTISONE BUTYRATE,4,7716
MIRAPEX,2,7644
NIASPAN,3,7627
PROTRIPTYLINE HCL,4,7620
NITROLINGUAL,1,7601
NEFAZODONE HCL,7,7493
CEFAZOLIN SODIUM,6,7474
EXALGO,1,7443
INCRUSE ELLIPTA,2,7400
PANCREAZE,2,7400
GLYSET,3,7333
PROCARDIA XL,1,7313
DISULFIRAM,5,7246
PACERONE,6,7240
CIMETIDINE,23,7198
OXTELLAR XR,2,7178
NEOMYCIN SULFATE,18,7149
TYLENOL-CODEINE NO.4,1,7106
AMPICILLIN SODIUM,2,7085
PROBENECID-COLCHICINE,9,7069
MIMVEY,5,7013
CLARINEX-D 12 HOUR,2,7010
PYLERA,1,6955
SALSALATE,5,6943
ESTRADIOL-NORETHINDRONE ACETAT,4,6909
VALIUM,2,6882
ISRADIPINE,5,6803
PROTONIX IV,1,6780
ESTAZOLAM,12,6750
TRANEXAMIC ACID,2,6711
ERYPED 200,1,6708
FULYZAQ,1,6514
VERAMYST,3,6512
SKELAXIN,1,6283
CAPTOPRIL-HYDROCHLOROTHIAZIDE,8,6206
CARDURA,3,6124
LEVEMIR FLEXPEN,2,6077
AUVI-Q,1,6067
NICARDIPINE HCL,4,6058
ALPRAZOLAM ER,12,6007
DEPO-TESTOSTERONE,6,5979
GLUCOPHAGE XR,4,5967
FOSINOPRIL-HYDROCHLOROTHIAZIDE,6,5952
METOPROLOL-HYDROCHLOROTHIAZIDE,11,5925
MONOJECT INSULIN SYRINGE,9,5924
LIDOCAINE HCL VISCOUS,27,5897
TOBRAMYCIN SULFATE,3,5889
XULANE,3,5876
ATROPINE SULFATE,12,5864
HAVRIX,2,5850
QUALAQUIN,1,5840
METHOTREXATE SODIUM,14,5837
DIPHENHYDRAMINE HCL,14,5813
AMARYL,3,5796
ADDERALL,1,5786
PHENYTEK,6,5740
SODIUM BICARBONATE,5,5715
DIPYRIDAMOLE,13,5701
ABILIFY DISCMELT,1,5681
CLICKFINE,12,5679
METHENAMINE MANDELATE,2,5671
GALANTAMINE HYDROBROMIDE,1,5666
GENGRAF,4,5652
ULTRAM,2,5630
FLUOCINONIDE-E,3,5564
COMFORT EZ,5,5553
TRUEPLUS INSULIN SYRINGE,14,5551
ERYTHROMYCIN-BENZOYL PEROXIDE,3,5540
WELLBUTRIN SR,1,5456
FLUOXETINE DR,3,5450
PRAVACHOL,3,5446
WATER,4,5427
ADVICOR,2,5358
MOEXIPRIL HCL,9,5311
LORAZEPAM INTENSOL,5,5225
MENACTRA,1,5212
MUSTARGEN,1,5178
DILANTIN-125,3,5171
NAMZARIC,2,5150
DUAVEE,2,5132
STIOLTO RESPIMAT,1,5055
AZELEX,1,5037
WELLBUTRIN,1,5029
AFEDITAB CR,12,5010
VICODIN,5,4984
RETIN-A,8,4891
FORFIVO XL,1,4859
PHENADOZ,2,4817
DIVIGEL,3,4798
METHSCOPOLAMINE BROMIDE,5,4782
TERBUTALINE SULFATE,4,4741
ATACAND,3,4733
PANCRELIPASE 5,000,4,4715
RYTHMOL,1,4669
TENORMIN,2,4659
ZANAFLEX,1,4650
TRIFLURIDINE,2,4645
CELEXA,1,4638
MENEST,7,4619
CLARINEX,2,4602
HALCION,2,4531
SOMA,1,4505
SYMBYAX,1,4501
FOSAMAX,3,4476
DISOPYRAMIDE PHOSPHATE,4,4461
PEN NEEDLES,10,4454
EPINEPHRINE,1,4391
ZARONTIN,1,4372
TETANUS DIPHTHERIA TOXOIDS,3,4282
CODEINE SULFATE,5,4251
ACETYLCYSTEINE,3,4191
DEMEROL,1,4177
NIZATIDINE,18,4156
CLARITHROMYCIN ER,5,4144
ADAPALENE,2,4084
MEPERIDINE HCL,5,4041
ESTROPIPATE,11,4007
EASY TOUCH,10,3994
AMPICILLIN TRIHYDRATE,34,3943
KAZANO,1,3923
GENTAK,3,3881
SINGLE USE SWAB,50,3861
DEXMETHYLPHENIDATE HCL,4,3834
DEPAKOTE SPRINKLE,2,3722
VGO 30,1,3708
FLURAZEPAM HCL,17,3699
PHOSPHA 250 NEUTRAL,5,3678
SALAGEN,1,3678
DYAZIDE,3,3665
CEFACLOR,4,3642
SULFADIAZINE,1,3609
NAFCILLIN SODIUM,1,3581
ATACAND HCT,2,3556
PAXIL CR,2,3550
MIRVASO,1,3548
NITRO-DUR,2,3531
CONSTULOSE,8,3525
DEXMETHYLPHENIDATE HCL ER,2,3521
METHYLDOPA,16,3506
OXYCODONE HCL-ASPIRIN,5,3505
AMILORIDE-HYDROCHLOROTHIAZIDE,20,3499
PREVIDENT,12,3471
AMCINONIDE,1,3441
UNIFINE PENTIPS PLUS,8,3387
PHOSPHOLINE IODIDE,2,3359
STRIVERDI RESPIMAT,2,3314
OSMOPREP,1,3291
PREVNAR 13,1,3206
NOVOTWIST,6,3166
OMNARIS,1,3116
FLAVOXATE HCL,4,3080
ZANTAC,1,3076
NEOMYCIN-POLYMYXIN-GRAMICIDIN,3,3052
TESTOSTERONE ENANTHATE,3,3043
MIMVEY LO,1,3037
PAREGORIC,1,2998
GLYBURIDE MICRONIZED,15,2911
DEXAMETHASONE SODIUM PHOSPHATE,10,2875
SURMONTIL,1,2875
LEVAQUIN,1,2858
FML FORTE,1,2851
LITE TOUCH,5,2818
INTERMEZZO,1,2737
ACCUPRIL,1,2727
FLAREX,1,2662
PHENELZINE SULFATE,2,2639
ACTIVELLA,1,2623
INCONTROL PEN NEEDLE,5,2583
INSPRA,1,2556
NIFEDIPINE,3,2551
COREG,1,2531
NORPACE CR,1,2525
CILOXAN,1,2512
HYOSCYAMINE SULFATE,4,2502
EASY COMFORT INSULIN SYRINGE,2,2487
TENIVAC,2,2471
AZACTAM,1,2416
ESOMEPRAZOLE STRONTIUM,1,2416
FML,1,2393
RITALIN,1,2381
LIPOFEN,1,2377
RENACIDIN,2,2333
CHLORPROPAMIDE,2,2329
SPRINTEC,13,2289
ZESTORETIC,1,2288
MENTAX,1,2273
CHLORDIAZEPOXIDE HCL,23,2268
DIABETA,1,2254
RHINOCORT AQUA,1,2253
ADALAT CC,2,2249
CORTEF,1,2233
GLUCOPHAGE,2,2191
CLEMASTINE FUMARATE,3,2167
ESGIC,1,2164
CARBOPLATIN,1,2148
NAFTIFINE HCL,1,2129
FOLIC ACID,17,2119
MONOJECT INSULIN SAFETY SYRNG,3,2116
KENALOG-40,7,2112
AMPICILLIN-SULBACTAM,2,2092
TIAZAC,2,2060
ALORA,2,2059
GRANISETRON HCL,3,2025
VICODIN HP,1,1988
PERINDOPRIL ERBUMINE,7,1942
EURAX,1,1937
TRI-SPRINTEC,12,1934
CIPRO,1,1924
FIORICET,1,1913
ALOCRIL,1,1903
PROZAC WEEKLY,1,1903
GIANVI,3,1898
CYTOMEL,2,1888
CARBINOXAMINE MALEATE,3,1878
STAVUDINE,1,1876
BONIVA,1,1874
FLUTAMIDE,2,1858
FENOPROFEN CALCIUM,1,1848
PRENATAL PLUS,10,1848
SAFETYGLIDE INSULIN SYRINGE,1,1848
FOSAMAX PLUS D,1,1844
FLURBIPROFEN,4,1840
BACITRACIN-POLYMYXIN,3,1834
IVERMECTIN,4,1819
TAZICEF,1,1812
CORZIDE,1,1774
ESTROSTEP FE,1,1757
ZUBSOLV,1,1722
MAPROTILINE HCL,1,1697
DEPO-MEDROL,1,1696
TRILYTE WITH FLAVOR PACKETS,5,1696
ULTRA COMFORT,8,1693
PREMPHASE,1,1686
JINTELI,2,1666
NITRO-BID,3,1653
DEXTROSE 5%-0.45% NACL,4,1652
CARTEOLOL HCL,5,1641
ATROVENT,1,1621
PROSCAR,1,1610
EASY TOUCH ALCOHOL PREP PADS,14,1569
NADOLOL-BENDROFLUMETHIAZIDE,1,1547
TRIMETHOBENZAMIDE HCL,1,1541
LITHIUM,2,1529
MICROGESTIN FE,5,1526
PRED MILD,1,1525
MENOMUNE-A-C-Y-W-135,1,1522
BEYAZ,1,1508
LEVOFLOXACIN-D5W,1,1501
FLURBIPROFEN SODIUM,4,1485
GLUCOTROL XL,2,1485
OPIUM TINCTURE,1,1482
COLESTID,1,1461
DEFEROXAMINE MESYLATE,1,1458
VAQTA,1,1456
METHYLPREDNISOLONE SOD SUCC,3,1437
TELMISARTAN-AMLODIPINE,1,1404
PROCTOFOAM-HC,1,1396
CEFEPIME-DEXTROSE,1,1391
CLIMARA PRO,1,1387
SELENIUM SULFIDE,6,1383
SINEMET CR,1,1377
CRYSELLE,5,1374
DICLOXACILLIN SODIUM,3,1373
AVANDIA,1,1371
JUNEL,3,1368
GILDESS FE,4,1366
ISONIAZID,14,1358
NORTREL,5,1347
TRI-PREVIFEM,5,1343
POLYMYXIN B SULFATE,1,1340
ADVOCATE PEN NEEDLES,1,1334
NUVARING,1,1321
ALTOPREV,1,1319
FML S.O.P.,1,1294
FEMHRT,1,1288
VESTURA,2,1251
TRI-LEGEST FE,1,1241
MAXZIDE-25 MG,2,1226
ALPRAZOLAM XR,2,1219
ZIDOVUDINE,4,1217
ISOPTO CARPINE,1,1216
MINASTRIN 24 FE,1,1210
PLETAL,1,1209
MICROGESTIN,3,1191
DANAZOL,1,1189
NAPHAZOLINE HCL,2,1174
ELIXOPHYLLIN,1,1168
METHYLDOPA-HYDROCHLOROTHIAZIDE,2,1152
APRACLONIDINE HCL,1,1151
PREDNISOLONE SODIUM PHOSPHATE,3,1145
SF 5000 PLUS,9,1095
TRINESSA,5,1019
LEVORA-28,3,1016
SOLU-MEDROL,3,1016
M-M-R II VACCINE,1,983
APRI,3,949
DEMADEX,1,933
AMOXAPINE,2,927
NEOMYCIN-POLYMYXIN B,1,917
ENJUVIA,1,911
SUCLEAR,1,896
NORETHINDRONE,4,893
ZENCHENT FE,1,886
WYMZYA FE,1,880
UNITHROID,3,873
DENTA 5000 PLUS,8,859
AVIANE,3,851
COLYTE WITH FLAVOR PACKS,1,838
SULFACETAMIDE-PREDNISOLONE,2,833
CHLOROQUINE PHOSPHATE,1,780
PROPRANOLOL-HYDROCHLOROTHIAZID,2,777
ALPRAZOLAM ODT,1,759
MOEXIPRIL-HYDROCHLOROTHIAZIDE,2,734
AK-POLY-BAC,3,722
METIPRANOLOL,1,722
JUNEL FE,3,692
STROMECTOL,1,686
VIORELE,2,674
CHLOROTHIAZIDE,1,669
ZOLMITRIPTAN ODT,1,664
NORA-BE,3,662
DEXTROSE IN LACTATED RINGERS,1,658
VANCOMYCIN,1,652
RELION PEN NEEDLES,3,645
ADVOCATE SYRINGES,1,644
CYCLAFEM,3,636
EASY-TOUCH INSULIN SYRINGE,2,627
SYEDA,1,619
CIPROFLOXACIN-D5W,1,618
NECON,2,613
ALCOHOL SWABS,10,604
INFANRIX DTAP,1,603
MONONESSA,3,585
PREVIFEM,4,585
LESSINA,3,579
PROMETHAZINE VC,1,564
OCELLA,1,562
ORSYTHIA,3,562
ACETIC ACID,4,561
SODIUM CITRATE & CITRIC ACID,1,553
OGESTREL,1,546
VANCOMYCIN-D5W,1,546
INSUPEN,4,530
NIACOR,3,530
CETIRIZINE HCL,2,503
AMETHYST,1,501
ROCALTROL,1,500
PROCTO-PAK,1,487
HEALTHY ACCENTS UNIFINE PENTIP,1,472
EASY TOUCH INSULIN SAFETY,1,454
METHYCLOTHIAZIDE,1,439
ERRIN,3,429
PHILITH,1,420
MEFLOQUINE HCL,1,413
FLUMAZENIL,1,407
RIMANTADINE HCL,1,402
SHAROBEL,2,364
PREDNISOLONE,3,358
ALYACEN,1,357
PAROEX,1,353
ZOVIA 1-35E,1,352
GOLYTELY,1,345
QUINIDINE SULFATE,2,338
DEBLITANE,1,329
FALMINA,2,325
PREVIDENT 5000 SENSITIVE,2,325
CYANOCOBALAMIN INJECTION,3,320
ROXICET,1,317
VOL-PLUS,1,296
SULFATRIM,1,292
KLOR-CON M15,1,287
PORTIA,1,281
SURE COMFORT ALCOHOL,3,272
SRONYX,2,271
BALZIVA,1,270
DASETTA,1,269
LEVONORGESTREL-ETH ESTRADIOL,1,264
ENPRESSE,1,259
MAGNESIUM SULFATE,1,257
LUTERA,2,253
PROPANTHELINE BROMIDE,1,249
MYZILRA,1,242
PROMETHAZINE-DM,3,240
PREVIDENT 5000,1,235
KLOR-CON-EF,1,222
SURE-PREP ALCOHOL PREP PADS,1,222
RECLIPSEN,1,219
TRI-LINYAH,1,216
LEVONEST,1,182
DEXTROSE 5%-0.45% NACL-KCL,1,181
BENZONATATE,1,180
ELINEST,1,170
EASY TOUCH INSULIN SYRINGE,1,169
DENTAGEL,2,166
EMOQUETTE,1,157
LOW-OGESTREL,1,146
PREPLUS,2,143
NP THYROID,1,125
MONO-LINYAH,1,122
JENCYCLA,1,108
MAXI-COMFORT,1,104
O-CAL FA,1,88
SE-NATAL 19,1,88
ALCOHOL SWAB,2,75
SF,1,66
PRODIGY INSULIN SYRINGE,1,64
ALCOHOL PREP SWABS,1,61
LUDENT FLUORIDE,1,56
PERIOGARD,1,56
